,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
3300,Crash Bandicoot Purple: Ripto's Rampage,GBA,Vivendi Games,Platform,6.7,0.46m,0.17m,N/A,0.01m,03rd Jun 04
1125,Cabela's Big Game Hunter 2010,Wii,Activision,Sports,5.5,1.58m,N/A,N/A,0.12m,29th Sep 09
2976,Monopoly Streets,Wii,Electronic Arts,Misc,N/A,0.23m,0.42m,N/A,0.07m,26th Oct 10
275,Zelda II: The Adventure of Link,NES,Nintendo,Adventure,N/A,2.19m,0.50m,1.61m,0.08m,01st Sep 88
3623,The Lord of the Rings: The Third Age,PS2,Electronic Arts,Role-Playing,N/A,0.49m,0.02m,N/A,0.08m,02nd Nov 04
1492,Paper Mario,N64,Nintendo,Role-Playing,9.1,0.58m,0.18m,0.59m,0.02m,05th Feb 01
1933,Supercar Street Challenge,PS2,Activision,Racing,N/A,0.55m,0.43m,N/A,0.14m,22nd Oct 01
2176,Oshare Majo Love and Berry: DS Collection,DS,Sega,Misc,N/A,N/A,N/A,1.01m,N/A,22nd Nov 06
969,Red Faction,PS2,THQ,Shooter,9.1,0.76m,0.96m,N/A,0.20m,21st May 01
3732,The Legend of Spyro: Dawn of the Dragon,Wii,Vivendi Games,Platform,N/A,0.34m,0.17m,N/A,0.05m,21st Oct 08
361,FIFA 17,XOne,Electronic Arts,Sports,8.8,1.03m,2.41m,N/A,0.27m,27th Sep 16
845,Tetris DS,DS,Nintendo,Puzzle,8.5,0.63m,0.05m,1.35m,0.08m,20th Mar 06
1713,Oddworld: Abe's Oddysee,PS,GT Interactive,Platform,8.3,0.75m,0.44m,N/A,0.06m,31st Aug 97
86,FIFA 16,PS4,EA Sports,Sports,8.5,1.15m,5.77m,0.07m,1.23m,22nd Sep 15
3169,The Last Story,Wii,Xseed Games,Role-Playing,N/A,0.31m,0.13m,0.18m,0.05m,14th Aug 12
1195,NBA Live 06 (All region sales),PS2,EA Sports,Sports,N/A,1.44m,0.15m,N/A,0.05m,26th Sep 05
3217,Castlevania: Lords of Shadow,X360,Konami,Action,7.9,0.42m,0.17m,0.01m,0.05m,05th Oct 10
1882,Donkey Konga,GC,Nintendo,Misc,7.3,0.50m,0.16m,0.46m,0.03m,27th Sep 04
2934,Tales of Vesperia,X360,Namco Bandai,Role-Playing,8.1,0.32m,0.18m,0.19m,0.05m,26th Aug 08
2062,Endless Ocean,Wii,Nintendo,Adventure,6.8,0.43m,0.46m,0.09m,0.09m,21st Jan 08
3417,Strike Force Bowling,PS2,Crave Entertainment,Sports,N/A,0.30m,0.24m,N/A,0.08m,10th May 04
2193,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,Sammy Corporation,Misc,N/A,N/A,N/A,1.00m,N/A,27th May 04
